Date,TATAMOTORS_Open,TATAMOTORS_High,TATAMOTORS_Low,TATAMOTORS_Close,M&M_Open,M&M_High,M&M_Low,M&M_Close
16-09-2019,128,130.300003,126.5,128.600006,545,550.5,535.650024,536.950012
17-09-2019,129,130.5,121.349998,122,537.5,539.5,520,521.950012
18-09-2019,123.050003,125.900002,120.5,121.75,525,531.349976,518.200012,527
19-09-2019,123.5,125.349998,121.199997,124.199997,529,529.450012,513,519.299988
20-09-2019,125,137.75,122.599998,133.25,524.450012,574,518.650024,568.900024
23-09-2019,135,138.399994,126.5,127.900002,576.25,602.200012,552,565
24-09-2019,128.050003,132.199997,128,130.899994,563.900024,575.400024,554.599976,558.75
25-09-2019,129.899994,129.899994,121.5,123.050003,558.700012,558.700012,528,534.700012
26-09-2019,123.900002,127.25,122.800003,124.5,537.900024,569.75,536,566.950012
27-09-2019,122,122.449997,118.199997,119.900002,562.799988,567.799988,549.150024,555.099976
30-09-2019,120.650002,120.849998,116.400002,117.449997,557.75,558.549988,540.299988,547.150024
01-10-2019,118,119.849998,113,115.300003,551,566.099976,536.599976,556.700012
03-10-2019,112.650002,123.5,112.650002,122.400002,558,564.950012,547.099976,562.700012
04-10-2019,122.800003,123.800003,118.800003,119.650002,565.049988,575,555.450012,564.25
07-10-2019,120.25,120.550003,116.349998,117.5,561.099976,562.900024,546.5,552.950012
09-10-2019,118.5,121.699997,115.449997,120.900002,556,578.799988,550.950012,576.549988
10-10-2019,119.300003,119.699997,116.199997,116.800003,576,576,559.25,566.049988
11-10-2019,118.050003,122.199997,117.25,121.300003,568.549988,574.299988,554.099976,560.099976
14-10-2019,122.599998,130,122.5,127.849998,562.900024,572.349976,554.549988,568.650024
15-10-2019,127.099998,128.899994,123.699997,126.949997,568,586.549988,565.200012,583.400024
16-10-2019,127.300003,128.300003,124.5,125.849998,582.5,586.900024,575.349976,584.25
17-10-2019,127.099998,144.350006,125.099998,139.5,581.099976,596.349976,578.75,593.299988
18-10-2019,139,141.800003,135.600006,136.850006,589,595.5,583.599976,593.299988
22-10-2019,133.350006,135.600006,129.800003,131.75,593.400024,601.200012,587.450012,595.799988
23-10-2019,130.449997,133.800003,127.25,132.649994,596.900024,599.650024,587.150024,591.849976
24-10-2019,133,135.149994,130.5,133.5,592,595.5,578.599976,581.049988
25-10-2019,132,133,125.699997,126.849998,585.700012,585.700012,570.25,577.700012
27-10-2019,139.5,150.699997,139.5,147.699997,584.450012,595,580,591.5
29-10-2019,151.899994,175.5,151.199997,172.449997,595.450012,618,592.5,611.799988
30-10-2019,175,175.649994,166.550003,171.899994,617.200012,619.900024,605,616.549988
31-10-2019,169.800003,179.649994,168.949997,177.699997,617.599976,621.650024,603.75,606.450012
01-11-2019,175.199997,178,172.399994,175.050003,609,609.75,581,589.75
04-11-2019,171.600006,178.449997,170.850006,172.199997,591,594.549988,581.900024,586.400024
05-11-2019,173.25,175.75,169.949997,172,583.299988,590.599976,577.099976,580.150024
06-11-2019,172,176.350006,170.5,174.5,590.25,590.299988,577.099976,579.799988
07-11-2019,174.699997,174.699997,167.600006,171.5,579.799988,583.5,572,580.349976
08-11-2019,170.75,178.899994,167.800003,169.050003,578,596.5,576.849976,580
11-11-2019,169.199997,172.949997,169.050003,172,581.700012,586.950012,570,575
13-11-2019,171.5,176,169.399994,170.600006,574,580.900024,572,574.700012
14-11-2019,170.199997,170.300003,165.5,167.050003,575.200012,579.650024,567.75,578.450012
15-11-2019,169,173.399994,167.350006,168.550003,583.75,590.849976,579.75,583.049988
18-11-2019,172.100006,172.100006,169.25,170.100006,580.099976,582.599976,571.799988,573.700012
19-11-2019,170.800003,171.75,167.100006,167.75,573.75,575,559.650024,560.650024
20-11-2019,167.75,170.199997,166.199997,167.399994,562.25,568.450012,557.5,560.450012
21-11-2019,166.949997,170.100006,163,164.149994,560.5,562.650024,550.200012,551.799988
22-11-2019,164.899994,165.25,160.550003,162.350006,554.75,555,539.200012,546
25-11-2019,160.699997,166.600006,159.899994,166.100006,547.5,552.849976,546.25,547.799988
26-11-2019,166.649994,167.300003,162.550003,163.399994,550,552.900024,536.950012,538.599976
27-11-2019,165.300003,169.300003,165,165.899994,542,554.5,535,539.950012
28-11-2019,165.75,166.300003,163.550003,164.800003,541.900024,543.299988,536.25,541.950012
29-11-2019,164.800003,167.75,160.600006,161.5,543,543.799988,528.25,530.549988
02-12-2019,160.949997,163,158.949997,161.050003,525,537.5,523.5,534.150024
03-12-2019,162.949997,162.949997,157.399994,158.199997,537.25,537.25,522,522.900024
04-12-2019,158.5,170.350006,157.699997,169.399994,522.799988,529.25,519.150024,525.549988
05-12-2019,170.350006,172.199997,165.199997,166.100006,525.549988,531.150024,522,524.75
06-12-2019,167,168,160.050003,161.5,527.799988,527.900024,508.100006,510.200012
09-12-2019,162,166.449997,159.75,160.5,510.200012,518.5,510.049988,513.650024
10-12-2019,162.149994,163.25,159.050003,159.699997,514.599976,514.849976,503.75,505.75
11-12-2019,160.399994,163,157.399994,161.800003,507.649994,511.399994,502.649994,507.75
12-12-2019,163.449997,174.899994,162.5,173.350006,511,514.25,508.200012,511.899994
13-12-2019,177.25,183.949997,175.5,176.699997,514.549988,522.799988,513.75,516.200012
16-12-2019,177,178.800003,173.350006,174.949997,516,519.799988,507.600006,508.850006
17-12-2019,176,181.149994,175.350006,180.199997,509.899994,512.75,505,505.850006
18-12-2019,182.100006,184.5,170.449997,174.800003,506.899994,524.900024,506.5,522.650024
19-12-2019,174.649994,180.199997,174,179.149994,524.5,538.799988,524.5,535.400024
20-12-2019,180.399994,181.699997,174.850006,175.949997,533.5,539.650024,528.5,530.599976
23-12-2019,176.850006,179,174.149994,176.050003,529.950012,535.900024,524.700012,525.900024
24-12-2019,177.649994,178,174.649994,175.5,529,532.650024,526.200012,527.5
26-12-2019,175.899994,176.449997,174.100006,174.600006,530,536.200012,527.049988,528.349976
27-12-2019,176,176.949997,174.850006,176.149994,529.900024,532.75,525.049988,530.150024
30-12-2019,177.199997,184.350006,176.300003,183.699997,531.349976,539.849976,531.349976,536.900024
31-12-2019,184,187.899994,181.550003,185.149994,538.650024,538.650024,530.599976,531.549988
01-01-2020,185.149994,186.699997,183.600006,184.449997,532.900024,538,529.549988,536.599976
02-01-2020,185,194.699997,184.600006,193.75,537,541,533.5,539.849976
03-01-2020,192.899994,195.649994,189.25,191.100006,538.950012,539,530.400024,532.75
06-01-2020,191,191,185.050003,185.649994,529.900024,530,520.5,524.5
07-01-2020,187,189.399994,182.300003,184.699997,528.900024,532,523.049988,526.650024
08-01-2020,180.199997,184.199997,180.199997,182.550003,520.900024,526.450012,519,524.650024
09-01-2020,184.850006,192.75,184.25,192,529.849976,542.450012,525.700012,541.25
10-01-2020,192,199,190,196.350006,544.099976,547.599976,539.25,546.599976
13-01-2020,194.75,197.75,191.399994,196.25,548.900024,557,546.599976,554.950012
14-01-2020,195.699997,198.25,193.600006,195.850006,554.950012,563.75,554.950012,562.5
15-01-2020,195,201.699997,194,200.350006,562,571,556.700012,569.75
16-01-2020,199.5,200.600006,196.899994,197.550003,569.25,569.799988,564.049988,567.450012
17-01-2020,197.25,199.449997,195.699997,197.300003,566.799988,574,565.150024,569.299988
20-01-2020,198,201.449997,194.300003,195,569,574,564.349976,567.200012
21-01-2020,195.5,196.399994,190.199997,191.399994,564,564.900024,550.099976,552.799988
22-01-2020,191.949997,192.5,184.25,185.600006,553.5,556.5,549,553.599976
23-01-2020,186.75,190.399994,183.800003,188.399994,553.5,567.400024,549.549988,566.5
24-01-2020,188,191,185,186.5,566.099976,572,564.099976,567.75
27-01-2020,185.699997,186.899994,180.850006,182.199997,565,582.5,563,578.299988
28-01-2020,183.899994,184.300003,174.899994,176.100006,581.25,589.75,568.5,572.5
29-01-2020,178.800003,188.899994,178.550003,188.050003,577.5,580.700012,572.150024,577.75
30-01-2020,190.949997,192.550003,184.25,186.199997,578,587.549988,563.849976,567.849976
31-01-2020,186.300003,188.350006,175.949997,176.600006,570.799988,577,565.299988,567.150024
03-02-2020,163.5,168.300003,159.550003,163.850006,545,565.75,535.200012,558.700012
04-02-2020,166.550003,168.600006,161.199997,165.699997,562,578.799988,558.799988,576.900024
05-02-2020,167.399994,184.949997,166.600006,183.75,580.25,589.849976,577.400024,584.349976
06-02-2020,182,183.399994,175.75,178.850006,585,589.150024,576.049988,580.150024
07-02-2020,177.399994,178.149994,173,173.600006,579,581.5,561.299988,569.099976
10-02-2020,173.199997,173.199997,168,168.899994,566.799988,567,526.049988,528.400024
11-02-2020,171.850006,175.149994,168.399994,169.75,533.200012,537.700012,522.700012,524.049988
12-02-2020,173,173.300003,169,170.949997,526.650024,534.299988,523.900024,531
13-02-2020,171.350006,172.350006,168.100006,169.5,530.450012,538,528.299988,533.599976
14-02-2020,172,176.199997,168.300003,169.100006,535.25,536.950012,520.650024,523
17-02-2020,170.399994,171.350006,166.350006,169.100006,524.099976,525.400024,516,522.75
18-02-2020,168,168,158.600006,161.600006,520.5,524.900024,514.099976,523.200012
19-02-2020,162.850006,164.600006,153.050003,158.050003,528.150024,529.650024,521.799988,526.400024
20-02-2020,157.949997,162.300003,156,158.5,525.900024,533,523,524.849976
24-02-2020,154,155.899994,149.600006,150.649994,522,522,511.100006,513.200012
25-02-2020,152.199997,153.399994,147.449997,149.899994,515.549988,519.5,506.100006,508.950012
26-02-2020,146.899994,147.899994,143.699997,144.550003,507.700012,512.450012,500,503
27-02-2020,144.149994,146.75,141.100006,145.25,504,504,487.549988,493.5
28-02-2020,138.850006,139.600006,127.050003,128.949997,485,485,453.600006,457.049988
02-03-2020,133,133.899994,123.800003,125.400002,453.549988,472.450012,444.350006,458.299988
03-03-2020,127.5,131.399994,125.25,130.350006,462,471,455.25,466.25
04-03-2020,129.600006,129.600006,120.550003,126.199997,466.049988,477,457.5,474.649994
05-03-2020,127.550003,129.149994,124.25,125.75,472.700012,482.5,469,479.299988
06-03-2020,115,117.300003,112.800003,114.199997,458.850006,473.75,456.5,471
09-03-2020,109,109.849998,104.25,105.699997,453.549988,465.700012,441,463.200012
11-03-2020,104.849998,106.5,97.800003,98.900002,462.850006,469.649994,449.700012,451.600006
12-03-2020,91.099998,94.900002,84.099998,88,427.899994,435.950012,399.649994,423.350006
13-03-2020,81.900002,94.150002,78.050003,89.75,400.5,449.75,345.649994,428.850006
16-03-2020,85.599998,87.650002,82.199997,82.949997,421,428.600006,388.799988,391.799988
17-03-2020,83.050003,85,77.400002,77.949997,392,408,369.950012,373.399994
18-03-2020,79.900002,80.449997,75.099998,75.5,379,383.700012,339.100006,346.399994
19-03-2020,70,76.5,68.75,72.949997,331.75,331.799988,302,314.200012
20-03-2020,74,79.599998,72.650002,77.300003,316,328.200012,308.25,322.600006
23-03-2020,70,72,66,66.199997,299,303.899994,280.600006,293.399994
24-03-2020,69.900002,71.5,63.5,68.550003,300,309.899994,264.399994,269
25-03-2020,67.75,71.699997,67.25,70.25,263.399994,288.350006,245.399994,277.850006
26-03-2020,71.449997,73.5,68.300003,70.800003,277.850006,294,273.100006,285.5
27-03-2020,72.050003,75.900002,69.349998,70.699997,297,305,280.799988,294.5
30-03-2020,68.800003,70,67.25,68.150002,281.700012,284.850006,270,274.399994
31-03-2020,70.599998,71.5,68.199997,71.050003,283.850006,287.200012,277.799988,284.950012
01-04-2020,70.5,71.650002,67.550003,67.949997,281,283,265.5,272.850006
03-04-2020,66.900002,66.900002,64.800003,65.300003,274,290,271.350006,280.700012
07-04-2020,68.550003,69.300003,66.900002,67.25,295.5,323.799988,292.75,321
08-04-2020,66.5,71.599998,65.400002,67.599998,315,350.399994,312.799988,326.399994
09-04-2020,69.599998,76.25,69.099998,74.599998,335.75,391.649994,332.399994,381.399994
13-04-2020,76,77.599998,72.699997,74.25,380,380,355,362.850006
15-04-2020,75.400002,78.699997,71.949997,72.900002,373.049988,379.899994,349.299988,353.149994
16-04-2020,71.75,75.400002,71,74.650002,343.100006,360.450012,343,356.700012
17-04-2020,78.300003,78.300003,74.699997,76.849998,370.75,370.75,355.549988,363.200012
20-04-2020,76.849998,83.400002,75.5,80.449997,367,367.450012,354,355.850006
21-04-2020,78,78,74,74.650002,349.049988,349.049988,323.5,332.049988
22-04-2020,74.449997,76.550003,72.550003,75.900002,327,345.75,320.600006,340.200012
23-04-2020,76.75,78.650002,75.400002,75.650002,338,349.649994,331.549988,347.5
24-04-2020,75,76.900002,74,74.199997,342,344.75,332,334.299988
27-04-2020,75.900002,76.199997,74.800003,75.25,337.549988,343.350006,328.149994,330.299988
28-04-2020,75.650002,78.199997,75.199997,76.949997,334.450012,338,328.5,335.950012
29-04-2020,77.449997,79.300003,76.550003,78.150002,337,351.799988,336.25,348
30-04-2020,85.949997,93.75,85.949997,93.25,355.649994,368,355,366.649994
04-05-2020,87,87.199997,81.5,83.900002,350.049988,362.399994,341.100006,357.049988
05-05-2020,86,86.800003,80.400002,80.900002,363.75,381.799988,361.450012,368.149994
